transition,prev_bucket,n,mean_prev,mean_next,mean_delta,total_delta_net,gross_positive_gain,share_of_total_positive_gain,pct_add,pct_stay_solved,pct_drop_to_zero,pct_move_up_bucket,pct_stay_same_bucket,pct_move_down_bucket
loop0->loop1,0,243,0.0,0.35,0.35,85,85,0.0503,0.152,0.152,0.848,0.152,0.848,0.0
loop0->loop1,1,56,1.0,2.982,1.982,111,120,0.071,0.679,0.839,0.161,0.679,0.161,0.161
loop0->loop1,2-4,146,2.877,5.479,2.603,380,413,0.2444,0.692,0.966,0.034,0.589,0.301,0.11
loop0->loop1,5-8,177,6.435,8.904,2.469,437,548,0.3243,0.695,0.994,0.006,0.554,0.282,0.164
loop0->loop1,9-15,471,12.35,12.352,0.002,1,524,0.3101,0.439,1.0,0.0,0.104,0.779,0.117
loop0->loop1,16,0,,,,,,,,,,,,
loop1->loop2,0,221,0.0,0.262,0.262,58,58,0.0746,0.109,0.109,0.891,0.109,0.891,0.0
loop1->loop2,1,39,1.0,1.846,0.846,33,42,0.0541,0.436,0.769,0.231,0.436,0.333,0.231
loop1->loop2,2-4,121,3.099,3.488,0.388,47,118,0.1519,0.38,0.917,0.083,0.298,0.529,0.174
loop1->loop2,5-8,163,6.564,6.81,0.245,40,201,0.2587,0.448,1.0,0.0,0.27,0.509,0.221
loop1->loop2,9-15,498,12.341,11.956,-0.386,-192,358,0.4607,0.367,1.0,0.0,0.062,0.815,0.122
loop1->loop2,16,51,16.0,14.392,-1.608,-82,0,0.0,0.0,1.0,0.0,0.0,0.255,0.745
pooled,0,464,0.0,0.308,0.308,143,143,0.058,0.131,0.131,0.869,0.131,0.869,0.0
pooled,1,95,1.0,2.516,1.516,144,162,0.0657,0.579,0.811,0.189,0.579,0.232,0.189
pooled,2-4,267,2.978,4.577,1.599,427,531,0.2152,0.551,0.944,0.056,0.457,0.404,0.139
pooled,5-8,340,6.497,7.9,1.403,477,749,0.3036,0.576,0.997,0.003,0.418,0.391,0.191
pooled,9-15,969,12.346,12.149,-0.197,-191,882,0.3575,0.402,1.0,0.0,0.083,0.798,0.12
pooled,16,51,16.0,14.392,-1.608,-82,0,0.0,0.0,1.0,0.0,0.0,0.255,0.745
