metric,count,fraction(denominator=37)
loop1_first_solved_total,37,1.0
loop2_retained_solved,30,0.8108
loop2_dropped_to_zero,7,0.1892
loop2_increased_raw_density,24,0.6486
loop2_increased_canonical_unique_density,23,0.6216
loop2_same_raw_density,6,0.1622

loop1_bucket->loop2_bucket (RAW),count,fraction
1->2-4,7,0.1892
2-4->2-4,5,0.1351
1->5-8,4,0.1081
1->0,4,0.1081
2-4->5-8,4,0.1081
2-4->9-15,3,0.0811
1->1,3,0.0811
2-4->0,3,0.0811
5-8->9-15,2,0.0541
9-15->9-15,1,0.027
16->16,1,0.027

loop1_bucket->loop2_bucket (CANONICAL-UNIQUE),count,fraction
1->2-4,9,0.2432
2-4->2-4,8,0.2162
1->0,4,0.1081
2-4->5-8,3,0.0811
1->1,3,0.0811
2-4->0,3,0.0811
2-4->9-15,2,0.0541
1->5-8,2,0.0541
9-15->9-15,2,0.0541
5-8->5-8,1,0.027
