loop_pair,bucket_type,prev_bucket,n_problems(denominator),mean_next_raw,mean_next_canonical_unique,mean_delta_raw,mean_delta_canonical_unique,p_improve_bucket,p_same_bucket,p_drop_bucket,p_drop_to_zero
loop0->loop1,raw,0,243,0.387,0.35,0.387,0.35,0.152,0.848,0.0,0.848
loop0->loop1,raw,1,52,3.712,3.077,2.712,2.077,0.75,0.077,0.173,0.173
loop0->loop1,raw,2-4,124,7.427,5.952,4.508,3.105,0.806,0.121,0.073,0.04
loop0->loop1,raw,5-8,147,11.891,9.633,5.401,3.408,0.816,0.129,0.054,0.0
loop0->loop1,raw,9-15,527,14.442,11.474,1.522,-0.123,0.484,0.482,0.034,0.002
loop0->loop1,raw,16,0,,,,,,,,
loop1->loop2,raw,0,221,0.262,0.262,0.262,0.262,0.109,0.891,0.0,0.891
loop1->loop2,raw,1,27,2.333,2.111,1.333,1.111,0.556,0.111,0.333,0.333
loop1->loop2,raw,2-4,62,4.129,3.242,1.145,0.532,0.435,0.339,0.226,0.161
loop1->loop2,raw,5-8,102,8.52,6.471,1.971,0.971,0.461,0.392,0.147,0.0
loop1->loop2,raw,9-15,409,13.621,11.284,0.577,0.093,0.269,0.677,0.054,0.0
loop1->loop2,raw,16,272,15.75,10.143,-0.25,-1.301,0.0,0.82,0.18,0.0
loop0->loop1,canonical_unique,0,243,0.387,0.35,0.387,0.35,0.152,0.848,0.0,0.848
loop0->loop1,canonical_unique,1,56,4.393,2.982,2.821,1.982,0.679,0.161,0.161,0.161
loop0->loop1,canonical_unique,2-4,146,8.404,5.479,4.137,2.603,0.589,0.301,0.11,0.034
loop0->loop1,canonical_unique,5-8,177,12.537,8.904,4.599,2.469,0.554,0.282,0.164,0.006
loop0->loop1,canonical_unique,9-15,471,14.397,12.352,1.529,0.002,0.104,0.779,0.117,0.0
loop0->loop1,canonical_unique,16,0,,,,,,,,
loop1->loop2,canonical_unique,0,221,0.262,0.262,0.262,0.262,0.109,0.891,0.0,0.891
loop1->loop2,canonical_unique,1,39,5.641,1.846,1.333,0.846,0.436,0.333,0.231,0.231
loop1->loop2,canonical_unique,2-4,121,8.355,3.488,1.017,0.388,0.298,0.529,0.174,0.083
loop1->loop2,canonical_unique,5-8,163,11.399,6.81,1.031,0.245,0.27,0.509,0.221,0.0
loop1->loop2,canonical_unique,9-15,498,14.382,11.956,0.315,-0.386,0.062,0.815,0.122,0.0
loop1->loop2,canonical_unique,16,51,15.529,14.392,-0.471,-1.608,0.0,0.255,0.745,0.0
