scale,candidates,input_assumption,output_assumption(gpt-oss),gen_calls,input_tokens,output_tokens,total_tokens,loop0_tokens(reusable_onetime),loop1+2_tokens(per_variant)
1k,16,mean,low(2268/cand),52464,96584475.2,118988352,215572827.2,48793268.8,166779558.4
1k,16,mean,medium(3493/cand),52464,96584475.2,183256752,279841227.2,70216068.8,209625158.4
1k,16,p75,low(2268/cand),52464,128615496.0,118988352,247603848.0,49823312.0,197780536.0
1k,16,p75,medium(3493/cand),52464,128615496.0,183256752,311872248.0,71246112.0,240626136.0
1k,16,p90,low(2268/cand),52464,164994033.6,118988352,283982385.6,52651121.6,231331264.0
1k,16,p90,medium(3493/cand),52464,164994033.6,183256752,348250785.6,74073921.6,274176864.0
5k,16,mean,low(2268/cand),240000,441832000.0,544320000,986152000.0,223208000.0,762944000.0
5k,16,mean,medium(3493/cand),240000,441832000.0,838320000,1280152000.0,321208000.0,958944000.0
5k,16,p75,low(2268/cand),240000,588360000.0,544320000,1132680000.0,227920000.0,904760000.0
5k,16,p75,medium(3493/cand),240000,588360000.0,838320000,1426680000.0,325920000.0,1100760000.0
5k,16,p90,low(2268/cand),240000,754776000.0,544320000,1299096000.0,240856000.0,1058240000.0
5k,16,p90,medium(3493/cand),240000,754776000.0,838320000,1593096000.0,338856000.0,1254240000.0
10k,16,mean,low(2268/cand),480000,883664000.0,1088640000,1972304000.0,446416000.0,1525888000.0
10k,16,mean,medium(3493/cand),480000,883664000.0,1676640000,2560304000.0,642416000.0,1917888000.0
10k,16,p75,low(2268/cand),480000,1176720000.0,1088640000,2265360000.0,455840000.0,1809520000.0
10k,16,p75,medium(3493/cand),480000,1176720000.0,1676640000,2853360000.0,651840000.0,2201520000.0
10k,16,p90,low(2268/cand),480000,1509552000.0,1088640000,2598192000.0,481712000.0,2116480000.0
10k,16,p90,medium(3493/cand),480000,1509552000.0,1676640000,3186192000.0,677712000.0,2508480000.0
44k,16,mean,low(2268/cand),2112000,3888121600.0,4790016000,8678137600.0,1964230400.0,6713907200.0
44k,16,mean,medium(3493/cand),2112000,3888121600.0,7377216000,11265337600.0,2826630400.0,8438707200.0
44k,16,p75,low(2268/cand),2112000,5177568000.0,4790016000,9967584000.0,2005696000.0,7961888000.0
44k,16,p75,medium(3493/cand),2112000,5177568000.0,7377216000,12554784000.0,2868096000.0,9686688000.0
44k,16,p90,low(2268/cand),2112000,6642028800.0,4790016000,11432044800.0,2119532800.0,9312512000.0
44k,16,p90,medium(3493/cand),2112000,6642028800.0,7377216000,14019244800.0,2981932800.0,11037312000.0
44k,8,mean,low(2268/cand),1056000,1944060800.0,2395008000,4339068800.0,982115200.0,3356953600.0
44k,8,mean,medium(3493/cand),1056000,1944060800.0,3688608000,5632668800.0,1413315200.0,4219353600.0
44k,8,p75,low(2268/cand),1056000,2588784000.0,2395008000,4983792000.0,1002848000.0,3980944000.0
44k,8,p75,medium(3493/cand),1056000,2588784000.0,3688608000,6277392000.0,1434048000.0,4843344000.0
44k,8,p90,low(2268/cand),1056000,3321014400.0,2395008000,5716022400.0,1059766400.0,4656256000.0
44k,8,p90,medium(3493/cand),1056000,3321014400.0,3688608000,7009622400.0,1490966400.0,5518656000.0
