bucket_loop0,loop,n_problems,n_solved,n_problems_with_new_unique,mean_new_unique,total_new_unique,n_solved_only_copied_from_earlier,frac_solved_only_copied
0,0,243,0,0,0.0,0,,
0,1,243,37,37,0.35,85,0,0.0
0,2,243,50,49,0.646,157,1,0.02
1,0,52,52,52,1.0,52,,
1,1,52,43,41,2.635,137,2,0.0465
1,2,52,41,38,3.75,195,3,0.0732
2-4,0,124,124,124,2.847,353,,
2-4,1,124,119,117,4.677,580,2,0.0168
2-4,2,124,116,111,5.621,697,5,0.0431
5-8,0,147,147,147,6.224,915,,
5-8,1,147,147,143,7.19,1057,4,0.0272
5-8,2,147,144,135,7.32,1076,9,0.0625
9-15,0,527,527,527,11.598,6112,,
9-15,1,527,526,501,8.776,4625,25,0.0475
9-15,2,527,526,463,7.531,3969,63,0.1198
