bucket_loop0,loop,n_problems,n_solved,mean_raw_correct,mean_exact_unique,mean_canonical_unique,pooled_dup_factor,mean_dup_factor_solved,pooled_frac_dup,mean_frac_dup_solved,mean_near_dup_unique
0,0,243,0,0.0,0.0,0.0,,,,,0.0
0,1,243,37,0.387,0.366,0.35,1.106,1.045,0.0957,0.0313,0.284
0,2,243,50,0.922,0.84,0.761,1.211,1.162,0.1741,0.0901,0.613
1,0,52,52,1.0,1.0,1.0,1.0,1.0,0.0,0.0,1.0
1,1,52,43,3.712,3.288,3.077,1.206,1.33,0.171,0.1295,2.769
1,2,52,41,6.231,5.231,4.596,1.356,1.763,0.2623,0.1758,3.904
2-4,0,124,124,2.919,2.855,2.847,1.025,1.051,0.0249,0.0215,2.798
2-4,1,124,119,7.427,6.685,5.952,1.248,1.417,0.1987,0.1669,5.355
2-4,2,124,116,9.161,8.169,7.347,1.247,1.461,0.1981,0.172,6.137
5-8,0,147,147,6.49,6.354,6.224,1.043,1.069,0.0409,0.0388,5.871
5-8,1,147,147,11.891,10.626,9.633,1.234,1.374,0.1899,0.1728,8.279
5-8,2,147,144,12.15,10.646,9.673,1.256,1.47,0.2038,0.1884,7.714
9-15,0,527,527,12.92,11.992,11.598,1.114,1.311,0.1024,0.0952,9.776
9-15,1,527,526,14.442,12.376,11.474,1.259,1.682,0.2055,0.1949,8.831
9-15,2,527,526,14.48,11.78,10.613,1.364,1.977,0.2671,0.2562,7.605
